Year,Company Name,Pad Name           (Sampling Log),PAD,,CAMML,,Distance to Source (ft),Source Direction (degrees),Ambient Sampling Start Date,Ambient Sampling End Date,Operational Phase,VOC Data Version,Other Data Version,Data Revision Notes,Report(s),Report Data Version,Figures Link,Calibration (Tank # / SN),Hours Deployed,# of Ambient Samples,Sampling Yearly Totals,,
,Cub Creek,Knight,40.20,-105.04,40.20,-105.04,556,76,02/26/2021 22:45,03/12/2021 06:35,Drilling,r1,r1,Reporting Log,Dashboard,r1,Figures,6/735651,320,278,,,
,CC-ND,Eagle Pointe (Suncor),39.80,-104.94,39.81,-104.93,"5,076",254,05/14/2021 22:57,07/17/2021 17:46,N/A,r1,r1,Reporting Log,Dashboard,r1,Figures,6/735651,1531,1063,,,
,CubCreek,Knight,40.20,-105.04,40.20,-105.04,544,78,12/7/2021 13:30:00,12/13/2021 04:53,Flowback/Production,r1,r1,Reporting Log,Dashboard,,Figures,7/745421,135,114,1888,,
2022,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,, ,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
,,,,,,,0,#DIV/0!,,,,,,,,,,,0,,,,
