Timestamp,,Industry location name?,What is the event?,What is the start date for this event? (MST),What is the start time for this event? (MST) ,"If applicable, what is the stop date? (MST) (include for calibrations and remove data events)","If applicable, what is the stop time? (MST) (include for calibrations and remove data events)",Is this setup for a canister or tube trigger?,Reading (in mV) at 0.5 ppm,Reading (in mV) at 1 ppm ,Reading (in mV) at 2 ppm,Upload files here (max 10 photos):,Email Address,SPOD Meteorological Data,Transfer Standard Meteorological Data,Meteorological Sighting ,Calibration Gas Cylinder Information,PID hours,Site Location
7/26/2021 17:24:04,SPOD 1033,Ivey Pad - CAMML,Monitoring begins (for this device),1/22/2021,12:07:00 PM,,,No,,418,,"https://drive.google.com/open?id=1P4nLDUwwwUYZ2C1KzMd_Y_aYT0j8bbbm, https://drive.google.com/open?id=1AOsruY7so0LBdESUwh3YU4pUCRNoZMKr, https://drive.google.com/open?id=1nrySZeoY-9y3K-rnDcoLnrnz4mW96lK-, https://drive.google.com/open?id=1dH1qRmQ1eFVw58vn2pS0x59TjkZUPK0P, https://drive.google.com/open?id=12VCumgqSlpilugElfRRKPexlJkEnxVKz, https://drive.google.com/open?id=1lFY9JGYd8I_uyWWqgm_2hH62K0qL5ctw, https://drive.google.com/open?id=1qsNc5WNsJt3I0Q_cYiVa_CmV5LUAYIBX, https://drive.google.com/open?id=1T5jos4subTD155VHK5YRCoJaGpjcb8Kg, https://drive.google.com/open?id=1e6mUdEhDHxnxBhSwZ-csJY7z4ah0b_99, https://drive.google.com/open?id=10URs5MJNKerFqZO6eAWEDRceLYooj6iZ",alicia.frazier@state.co.us,,,,,,
7/26/2021 15:41:31,SPOD 1035,Ivey Pad - Residence,Monitoring begins (for this device),1/7/2021,12:55:00 PM,,,Yes,,130,,"https://drive.google.com/open?id=1vRY5kIMMEVJAeYwBLTw-w32qAz7LQ_iB, https://drive.google.com/open?id=1m9kgCGl5bFb9klFWVS_8JWhlbcGxmkE0",alicia.frazier@state.co.us,,,,,,
7/26/2021 15:45:14,SPOD 1035,Ivey Pad - Residence,Bump check,2/2/2021,11:03:00 AM,2/2/2021,12:00:00 PM,Yes,,121,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 15:49:05,SPOD 1035,Ivey Pad - Residence,Bump check,3/10/2021,12:34:00 PM,3/10/2021,12:40:00 PM,Yes,,124,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 15:57:17,SPOD 1035,Ivey Pad - Residence,Bump check,4/13/2021,11:55:00 AM,4/13/2021,12:05:00 PM,Yes,,131,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 16:02:28,SPOD 1035,Ivey Pad - Residence,manual reset of unit to fix can pressure not reporting; averaging changed from 30 sec to 60 sec,4/22/2021,2:00:00 PM,,,Yes,,,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 16:04:22,SPOD 1035,Ivey Pad - Residence,End of monitoring (for this device),5/19/2021,9:15:00 AM,,,Yes,,,,,alicia.frazier@state.co.us,,,,,,
10/25/2021 14:07:59,SPOD 1158,Krause Pad - Ft. Collins,Monitoring begins (for this device),10/12/2021,11:30:00 AM,,,No,435,839,1667,,alicia.frazier@state.co.us,,,,,,
10/25/2021 14:14:25,SPOD 1158,Krause Pad - Ft. Collins,Replaced solar panel on unit as it wasn't charging properly.  Discovered issue with location of sensor (was partially on oil company property).  Moved unit directly south to Bortz Residence,10/21/2021,10:00:00 AM,10/21/2021,10:25:00 AM,No,,,,,alicia.frazier@state.co.us,,,,,,
10/25/2021 14:17:13,SPOD 1158,Krause Pad - Ft. Collins,Bump check,10/21/2021,10:30:00 AM,10/21/2021,10:40:00 AM,No,460,,,,alicia.frazier@state.co.us,,,,,,
12/15/2021 17:37:28,SPOD 1158,Krause Pad - Ft. Collins,Bump check,12/9/2021,9:50:00 AM,12/9/2021,10:05:00 AM,No,,816.2,,,alicia.frazier@state.co.us,,,,,,
10/25/2021 13:41:11,SPOD 1034,Papa Jo/Yellohammer/Mae J,End of monitoring (for this device),8/10/2021,8:15:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:29:34,SPOD 1001,Papa Jo/Yellowhammer/Mae J,Monitoring begins (for this device),3/22/2021,9:00:00 AM,,,No,,267.6,,"https://drive.google.com/open?id=1_e25SAao5_Wd-BaJ1X7s_eSKuStrkBEz, https://drive.google.com/open?id=12JsqK5l3M5cSxfp42KXP8-U1-33Je21b, https://drive.google.com/open?id=12Q9uiI85Ub33Am9mLldVlha41y6axUgL, https://drive.google.com/open?id=1NgSOtmlN_eOTbbEMAEugsGRiumqEG-qj, https://drive.google.com/open?id=1KN_7acXe0yZzmsXLOUAmk4JMtY3NyYGu, https://drive.google.com/open?id=1lh4XJjkrLqec7V1ODAUNuNtqUeExgGGT, https://drive.google.com/open?id=16Ney6eBGwdws4IyrH95kbpqXuvEnUZ8I, https://drive.google.com/open?id=1niJLCJsT2e-UAXRiaTJ8yGw7ysDGxnqL, https://drive.google.com/open?id=1bcxHZv-wE_SUcNYP0g5HXZSGHQYDszz5, https://drive.google.com/open?id=17PQ-CBuAbbDTIfXoLue-kIYx8PgX_ZOQ",alicia.frazier@state.co.us,,,,,,
7/29/2021 14:35:03,SPOD 1001,Papa Jo/Yellowhammer/Mae J,Bump check,4/2/2021,12:30:00 PM,4/2/2021,1:30:00 PM,No,,261.8,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:37:53,SPOD 1001,Papa Jo/Yellowhammer/Mae J,Unit moved slightly west of prior location due to completion of activities.,4/23/2021,12:30:00 PM,4/23/2021,2:30:00 PM,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:40:38,SPOD 1001,Papa Jo/Yellowhammer/Mae J,Bump check,4/28/2021,9:45:00 AM,4/28/2021,10:45:00 AM,,,292,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:44:43,SPOD 1001,Papa Jo/Yellowhammer/Mae J,End of monitoring (for this device),5/19/2021,10:00:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:13:41,SPOD 1034,Papa Jo/Yellowhammer/Mae J,Monitoring begins (for this device),6/3/2021,12:30:00 PM,,,Yes,292,559,1058,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:16:26,SPOD 1034,Papa Jo/Yellowhammer/Mae J,Bump check,7/6/2021,9:45:00 AM,7/6/2021,10:15:00 AM,Yes,,540,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 12:29:26,SPOD 1032,Papa Jo/Yellowhammer/Mae J pad,Monitoring begins (for this device),4/1/2021,2:00:00 PM,,,Yes,,,,"https://drive.google.com/open?id=1cmYGnf3SQRST6Og1ME1Z-42o7tIE1qNe, https://drive.google.com/open?id=1C3cFAsxPFrGLkzv4tZt1gxqP4_n73sL4, https://drive.google.com/open?id=16fAIaG-NerfEYHHQyMgAYQ01jJNHT7a7, https://drive.google.com/open?id=10lWSteDWPVpXiooVW1aFzBJczmT4vMvC, https://drive.google.com/open?id=1e1IlZ_czhkFZEdx9IjRLeesgyefHiTyB, https://drive.google.com/open?id=11NvsuFgzqTaB9icZm1KZQUNOWSBgmDei, https://drive.google.com/open?id=1GzlXF57HFW1kRqUR7CUuWgujNBPhbFAl, https://drive.google.com/open?id=1b5i7X4X9hE_1tzT5JIwWGI5sO7YewU3o, https://drive.google.com/open?id=1qUZnLzzaDTYX50uJjiaWtXINZQYE80UJ, https://drive.google.com/open?id=1zfbvgSmW4WBDThBWPH6japCz_0UR1anS",alicia.frazier@state.co.us,,,,,,
7/29/2021 12:35:54,SPOD 1032,Papa Jo/Yellowhammer/Mae J pad,Data during this time period is off by 6 hours and needs to be corrected before public consumption,4/2/2021,1:33:00 PM,4/13/2021,8:41:00 AM,Yes,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 12:46:42,SPOD 1032,Papa Jo/Yellowhammer/Mae J pad,Bump check,5/24/2021,12:00:00 PM,5/24/2021,1:30:00 PM,Yes,,320,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 12:50:06,SPOD 1032,Papa Jo/Yellowhammer/Mae J pad,End of monitoring (for this device),6/3/2021,12:00:00 PM,,,Yes,,,,,alicia.frazier@state.co.us,,,,,,
10/26/2021 14:27:56,SPOD 1157,Petro BEF Pad,Bump check,10/26/2021,10:13:00 AM,10/26/2021,10:25:00 AM,No,480,,,,alicia.frazier@state.co.us,,,,,,
12/15/2021 17:43:20,SPOD 1157,Petro BEF Pad,Bump check,12/14/2021,12:05:00 PM,12/14/2021,12:20:00 PM,No,,849.1,,,alicia.frazier@state.co.us,,,,,,
10/26/2021 14:29:11,SPOD 1160,Petro BEF Pad (Park),Bump check,10/26/2021,10:30:00 AM,10/26/2021,10:45:00 AM,No,520,,,,alicia.frazier@state.co.us,,,,,,
12/15/2021 17:44:51,SPOD 1160,Petro BEF Pad (Park),Bump check,12/14/2021,12:20:00 PM,12/14/2021,12:40:00 PM,No,,833.8,,,alicia.frazier@state.co.us,,,,,,
9/2/2021 16:05:33,SPOD 1160,Petro Energy - BEF Pad,Monitoring begins (for this device),9/2/2021,12:00:00 PM,,,No,502.1,852.9,1627.2,"https://drive.google.com/open?id=1TqZg5VfmFWWN87PdNlP5QeRvditoMLkY, https://drive.google.com/open?id=1cOfShkRYj6AvG5esSy4UWCDxRYcxEYmE, https://drive.google.com/open?id=168jJgC7LWN9gWopCdbsJuf1UkTHIh6jY, https://drive.google.com/open?id=1ZOEUfnvzAvzEilBXEKBo7puLpIPoXPhi, https://drive.google.com/open?id=1TwWIprriPUXTEzx9QHcE8BvLSS3maJ_Z, https://drive.google.com/open?id=1iYPlZmmsqVPnIQaN3mr7CrNOR9vCVXbR, https://drive.google.com/open?id=1srDUN7oH3mAHlOEQDdu0hEQKrQD7AjFF, https://drive.google.com/open?id=1KONlU0O0g6JqFJKhQzXQej9ko5Tq06nr, https://drive.google.com/open?id=1Jbh48qBLJDVlNH8T15E6bHKM4nqkCsBO, https://drive.google.com/open?id=17dMX6GeARSgFvLB8kFCJT0mhHaZu_Kkj",alicia.frazier@state.co.us,,,,,,
9/2/2021 16:06:10,SPOD 1157,Petro Energy - BEF Pad,Monitoring begins (for this device),9/2/2021,12:00:00 PM,,,No,496.5,854.6,1501.9,"https://drive.google.com/open?id=1GvZLAHxS3cDrdI7wWEjtPnwex2tF3cji, https://drive.google.com/open?id=1iQVv14Dh9oUCfPontW05XwDC4ZFmI8n2, https://drive.google.com/open?id=1pUaprBbNJo0g22XlJn8jDQfl45UcOlol, https://drive.google.com/open?id=14L6T8F6_fDjhp32OEisiPsINIANJy43N, https://drive.google.com/open?id=1O0kuMt74zX6iEZpM5Ewgy4l2j7gEepCA, https://drive.google.com/open?id=1K4DbbMn2-LQgs8stuyyI3FKna5UNsaq8, https://drive.google.com/open?id=1NPDEuQoLy4sUEOad4qg8Oao4NbG2cbpV, https://drive.google.com/open?id=1UxVFgQtYaRde9smz8jMsM8glwMpGh5nI, https://drive.google.com/open?id=1CDjJYR6f8I3cfqUXA9S04CRwfyjVXMfA, https://drive.google.com/open?id=1ucc7Vrs9vpmV_DJWoDsp15pYs4T2DL7-",alicia.frazier@state.co.us,,,,,,
10/25/2021 13:58:46,SPOD 1157,Petro Energy - BEF Pad,Bump check,9/14/2021,10:30:00 AM,9/14/2021,10:40:00 AM,No,470,,,,alicia.frazier@state.co.us,,,,,,
10/25/2021 14:01:58,SPOD 1160,Petro Energy - BEF Pad,Bump check,9/14/2021,11:05:00 AM,9/14/2021,11:30:00 AM,No,480,,,,alicia.frazier@state.co.us,,,,,,
10/25/2021 14:09:11,SPOD 1159,Raindance Pad - Windsor,Monitoring begins (for this device),10/12/2021,10:00:00 AM,,,No,513,920,1685,,alicia.frazier@state.co.us,,,,,,
10/25/2021 14:19:46,SPOD 1159,Raindance Pad - Windsor,Bump check,10/21/2021,11:45:00 AM,10/21/2021,12:00:00 PM,No,521,,,,alicia.frazier@state.co.us,,,,,,
12/15/2021 17:38:21,SPOD 1159,Raindance Pad - Windsor,Bump check,12/9/2021,10:35:00 AM,12/9/2021,10:50:00 AM,No,,909.1,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 12:13:27,SPOD 1034,South Ute Indian Reservation Facility,Monitoring begins (for this device),3/8/2021,4:00:00 PM,,,Yes,,,,"https://drive.google.com/open?id=1apTfhpI4cdpOsg5Zxdv92Kgifdv3lYCy, https://drive.google.com/open?id=1E2EnWAGEKaQ_wfUQ9Y11fKS-DsrdgROS, https://drive.google.com/open?id=1ztargpYHWnVMnf_UOuG2LJQhTyGtYMmH, https://drive.google.com/open?id=1J_dn8lsukkeiuDO8mWNKD1Vi_gwLOp7R, https://drive.google.com/open?id=17MfJ0muE-uLnDt2Rr78tpjLtI-r83uE2, https://drive.google.com/open?id=15Q5PEcEXVHlAg4wutFt-c-4jQzCOlqgr, https://drive.google.com/open?id=1Bit8WHB5cA8WWvQtixyqZ2XsGrf7TFQr, https://drive.google.com/open?id=1Ex8bR9qwyDjD9NZXyrmK9Cc30WYpM8z8, https://drive.google.com/open?id=1RuFxe1R1U8eNmVaJ2oG99wvYYAdZOmff",alicia.frazier@state.co.us,,,,,,
7/29/2021 12:16:57,SPOD 1034,Southern Ute Indian Reservation Facility,End of monitoring (for this device),5/25/2021,4:30:00 PM,,,Yes,,,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 15:05:41,SPOD 1032,Suncor,Monitoring begins (for this device),11/5/2020,1:02:00 PM,,,No,,,,"https://drive.google.com/open?id=1SI6SRH48QGxTHEgMr58YKqkHXU05gxgo, https://drive.google.com/open?id=1aEZKDsqzky6y7MqHDcUG0pIJvNlFDJnO, https://drive.google.com/open?id=14h_gJGG5XbQjux1UUMoZVCSRrZHnIVcO, https://drive.google.com/open?id=1qFR6RhFBHk3MKkyxPiR6ZwCGZHDWaM-w, https://drive.google.com/open?id=1C0TcZwB1-u1qiKlN23WB22d5VDeez06h, https://drive.google.com/open?id=1F7tdOfH9JTcIiKbqhwyXBJrYYtnD_Alj, https://drive.google.com/open?id=1I6ewlArdBJmde9H0nu_lgBGdHOWbTMoh, https://drive.google.com/open?id=1I-RkH3CvqadJKToG2d2mUO0VGidt7DrM, https://drive.google.com/open?id=1YsIZl2zmgsV-gHers1L4udw1U1zE7TV_",alicia.frazier@state.co.us,,,,,,
7/26/2021 15:25:58,SPOD 1032,Suncor,Bump check,3/10/2021,1:44:00 PM,3/10/2021,1:54:00 PM,No,,262,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 15:27:36,SPOD 1032,Suncor,Bump check,2/3/2021,9:23:00 AM,2/3/2021,9:50:00 AM,No,,263,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 16:13:12,SPOD 1032,Suncor,End of monitoring (for this device),3/29/2021,10:42:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:01:56,SPOD 1033,Suncor,Monitoring begins (for this device),5/19/2021,1:00:00 PM,,,No,274,489,878,,alicia.frazier@state.co.us,,,,,,
8/12/2021 8:01:39,SPOD 1001,Suncor,Bump check,8/10/2021,11:37:00 AM,8/10/2021,11:45:00 AM,No,452.09,,,,alicia.frazier@state.co.us,,,,,,
7/27/2021 0:00:00,SPOD 1033,Suncor - Eagle Point,Monitoring begins (for this device),5/19/2021,,,,,,,,,,,,,,,
7/27/2021 0:01:00,SPOD 1033,Suncor - Eagle Point,Bump check,6/14/2021,8:46 AM,6/14/2021,9:46 AM,,,,,,,,,,,,
7/27/2021 0:04:00,SPOD 1033,Suncor - Eagle Point,Bump check,7/15/2021,8:45,7/15/2021,9:15,,,,,,,,,,,,
7/27/2021 1:00:00,SPOD 1033,Suncor - Eagle Point,End of monitoring (for this device),7/19/2021,9:00 AM,,,,,,,,,,,,,,
7/29/2021 15:04:37,SPOD 1033,Suncor Refinery,Bump check,6/14/2021,9:30:00 AM,6/14/2021,10:45:00 AM,No,,495,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:06:51,SPOD 1033,Suncor Refinery,Bump check,7/15/2021,9:15:00 AM,7/15/2021,10:15:00 AM,No,,465,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:07:47,SPOD 1033,Suncor Refinery,End of monitoring (for this device),7/19/2021,10:00:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:21:29,SPOD 1001,Suncor Refinery,Monitoring begins (for this device),7/1/2021,10:30:00 AM,,,No,417,823,1634,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:22:32,SPOD 1001,Suncor Refinery,Bump check,7/1/2021,12:00:00 PM,7/1/2021,1:00:00 PM,No,,863,,,alicia.frazier@state.co.us,,,,,,
10/25/2021 14:05:41,SPOD 1001,Suncor Refinery,Bump check,9/14/2021,12:25:00 PM,9/14/2021,12:40:00 PM,No,452,,,,alicia.frazier@state.co.us,,,,,,
10/26/2021 14:25:34,SPOD 1001,Suncor Refinery,Bump check,10/26/2021,12:32:00 PM,10/26/2021,12:45:00 PM,No,428,,,,alicia.frazier@state.co.us,,,,,,
12/15/2021 17:46:08,SPOD 1001,Suncor Refinery,Bump check,12/14/2021,1:05:00 PM,12/14/2021,1:25:00 PM,No,,869.5,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 16:35:28,SPOD 1001,Ursa - Battlement Mesa,Monitoring begins (for this device),6/17/2020,11:00:00 AM,,,No,,,,"https://drive.google.com/open?id=1I2mL5QPnm5BAE9avQBR-BBURk5sZDK4r, https://drive.google.com/open?id=1ALr2Ssdqb9WIovgTdcXvIz7DepRzFkj6",alicia.frazier@state.co.us,,,,,,
7/26/2021 16:36:42,SPOD 1001,Ursa - Battlement Mesa,End of monitoring (for this device),8/6/2020,10:25:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 14:33:37,SPOD 1001,Vetting Pad - Bella Romero,Monitoring begins (for this device),9/17/2020,11:39:00 AM,,,Yes,,360,,"https://drive.google.com/open?id=1QML1IFDMyQG_F1RHI17a79tc6E0CW4Sy, https://drive.google.com/open?id=1i0axI8xHlZIFAbJHch4qWg4ZrqQ6ZiAG, https://drive.google.com/open?id=1PiR0EInoRzurn0kQWM2BCxwxDp_vapzu",alicia.frazier@state.co.us,,,,,,
7/26/2021 16:12:04,SPOD 1001,Vetting Pad - Bella Romero,End of monitoring (for this device),2/3/2021,7:33:00 AM,,,Yes,,,,,alicia.frazier@state.co.us,,,,,,
3/1/2022 13:16:26,SPOD 1158,Krause Pad - Ft. Collins,Bump check,2/10/2022,11:05:00 AM,,11:35:00 AM,No,,1130,,,alicia.frazier@state.co.us,,,,,,
3/1/2022 13:18:01,SPOD 1158,Krause Pad - Ft. Collins,End of monitoring (for this device),3/10/2022,11:35:00 AM,2/10/2022,11:35:00 AM,No,,,,,alicia.frazier@state.co.us,,,,,,
3/2/2022 18:08:16,SPOD 1002,Cub Creek - Knight Pad,Bump check,3/2/2022,1:15:00 PM,3/2/2022,1:30:00 PM,No,430,,,,alicia.frazier@state.co.us,,,,,,
3/2/2022 18:08:57,SPOD 1002,Cub Creek - Knight Pad,End of monitoring (for this device),3/2/2022,1:30:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
3/2/2022 18:10:09,SPOD 1159,Raindance Pad - Windsor,Bump check,3/2/2022,2:00:00 PM,3/2/2022,2:15:00 PM,No,537.2,,,,alicia.frazier@state.co.us,,,,,,
3/2/2022 18:10:39,SPOD 1159,Raindance Pad - Windsor,End of monitoring (for this device),3/2/2022,2:15:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
10/4/2022 15:51:03,SPOD 1158,Cub Creek - Knight Pad,Monitoring begins (for this device),3/2/2022,7:32:00 PM,,,,,,,,heather.mcintyre@state.co.us,,,,,,
10/4/2022 16:13:37,SPOD 1158,Cub Creek - Knight Pad,End of monitoring (for this device),7/14/2022,9:14:00 AM,,,,,,,,heather.mcintyre@state.co.us,,,,,,
10/5/2022 14:32:12,SPOD 1158,Cub Creek - Knight Pad,Bump check,5/10/2022,10:00:00 AM,5/10/2022,10:20:00 AM,,,,,,heather.mcintyre@state.co.us,,,,,,
10/5/2022 14:33:33,SPOD 1158,Cub Creek - Knight Pad,Bump check,6/27/2022,11:35:00 AM,6/27/2022,11:57:00 AM,,,,,,heather.mcintyre@state.co.us,,,,,,
10/5/2022 14:35:05,SPOD 1032,Cub Creek - Knight Pad,Monitoring begins (for this device),7/14/2022,9:50:00 AM,,,,,,,,heather.mcintyre@state.co.us,,,,,,
10/5/2022 14:37:27,SPOD 1032,Cub Creek - Knight Pad,Rain Event,7/23/2022,3:28:00 PM,7/23/2022,3:40:00 PM,No,,,,,heather.mcintyre@state.co.us,,,,,,
10/5/2022 14:39:07,SPOD 1032,Cub Creek - Knight Pad,Rain Event- water in Unit,7/26/2022,11:25:00 PM,7/27/2022,6:00:00 AM,,,,,,heather.mcintyre@state.co.us,,,,,,
10/5/2022 14:41:36,SPOD 1032,Cub Creek - Knight Pad,Bump check,7/27/2022,1:54:00 PM,7/27/2022,2:40:00 PM,,,,,,heather.mcintyre@state.co.us,,,,,,
